companyName|aboutUs|vision|mission|culture
Amazon|Amazon is guided by four principles: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, and long-term thinking. We are driven by the excitement of building technologies, inventing products, and providing services that change lives. We embrace new ways of doing things, make decisions quickly, and are not afraid to fail. We have the scope and capabilities of a large company, and the spirit and heart of a small one. Together, Amazonians research and develop new technologies from Amazon Web Services to Alexa on behalf of our customers: shoppers, sellers, content creators, and developers around the world.|To be Earth's most customer-centric company.|To be Earth's most customer-centric company.|Amazon's culture is built on customer obsession, ownership, long-term thinking, and a willingness to be misunderstood. The company encourages innovation, risk-taking, and a bias for action. Employees are empowered to make decisions and are encouraged to think big and invent on behalf of customers.
Microsoft|Every company has a mission. What's ours? To empower every person and every organization to achieve more. We believe technology can and should be a force for good and that meaningful innovation contributes to a brighter world in the future and today. Our culture doesn't just encourage curiosity; it embraces it. Each day we make progress together by showing up as our authentic selves. We show up with a learn-it-all mentality. We show up cheering on others, knowing their success doesn't diminish our own. We show up every day open to learning our own biases, changing our behavior, and inviting in differences. Because impact matters. Microsoft operates in 190 countries and is made up of approximately 228,000 passionate employees worldwide.|To empower every person and every organization to achieve more.|To empower every person and every organization to achieve more.|Microsoft's culture is built on a growth mindset, diversity and inclusion, and making a difference. The company values curiosity, collaboration, and continuous learning. Employees are encouraged to be authentic, embrace differences, and work together to create positive impact.
Google|A problem isn't truly solved until it's solved for all. Googlers build products that help create opportunities for everyone, whether down the street or across the globe. Bring your insight, imagination and a healthy disregard for the impossible. Bring everything that makes you unique. Together, we can build for everyone.|To organize the world's information and make it universally accessible and useful.|To organize the world's information and make it universally accessible and useful.|Google's culture emphasizes innovation, collaboration, and a focus on user needs. The company encourages creativity, risk-taking, and thinking big. Employees are given autonomy to work on meaningful projects and are supported in their personal and professional growth.
Apple|We're a diverse collective of thinkers and doers, continually reimagining what's possible to help us all do what we love in new ways. And the same innovation that goes into our products also applies to our practices — strengthening our commitment to leave the world better than we found it. This is where your work can make a difference in people's lives. Including your own. Apple is an equal opportunity employer that is committed to inclusion and diversity.|To make the best products on earth, and to leave the world better than we found it.|To make the best products on earth, and to leave the world better than we found it.|Apple's culture is built on innovation, excellence, and attention to detail. The company values creativity, collaboration, and a passion for creating products that enrich people's lives. Employees are encouraged to think differently and push the boundaries of what's possible.
Meta|Meta's mission is to build the future of human connection and the technology that makes it possible. Our technologies help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology.|To build the future of human connection and the technology that makes it possible.|To build the future of human connection and the technology that makes it possible.|Meta's culture emphasizes innovation, collaboration, and a focus on building products that connect people. The company encourages employees to be bold, move fast, and focus on impact. There's a strong emphasis on diversity, inclusion, and creating a supportive work environment.
Netflix|Netflix is one of the world's leading entertainment services, with over 300 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.|To become the best global entertainment distribution service.|To become the best global entertainment distribution service.|Netflix's culture is built on freedom and responsibility. The company values high performance, honesty, and direct feedback. Employees are given significant autonomy and are expected to act in the company's best interests. The culture emphasizes innovation, creativity, and a focus on delivering value to customers.
Tesla|Tesla is accelerating the world's transition to sustainable abundance. To achieve our mission, we're building a world powered by solar, enabled by battery storage and transported by electric vehicles. We're committed to hiring and developing top talent from around the world for any given discipline. Headquartered in Texas, we operate six huge, vertically integrated factories across three continents. With over 100,000 employees, our teams take a first-principles approach to designing, building, selling and servicing our products in-house.|To accelerate the world's transition to sustainable energy.|To accelerate the world's transition to sustainable energy.|Tesla's culture emphasizes innovation, sustainability, and a mission-driven approach. The company values creativity, problem-solving, and a commitment to environmental responsibility. Employees are encouraged to think big, work hard, and contribute to the company's mission of sustainable energy.
NVIDIA|Since its founding in 1993, NVIDIA (NASDAQ: NVDA) has been a pioneer in accelerated computing. The company's invention of the GPU in 1999 sparked the growth of the PC gaming market, redefined computer graphics, ignited the era of modern AI and is fueling the creation of the metaverse. NVIDIA is now a full-stack computing company with data-center-scale offerings that are reshaping industry.|To be the world's leading AI computing company.|To be the world's leading AI computing company.|NVIDIA's culture emphasizes innovation, excellence, and a passion for technology. The company values creativity, collaboration, and a commitment to pushing the boundaries of what's possible. Employees are encouraged to think big and contribute to breakthrough technologies.
Intel|Our mission is to shape the future of technology to help create a better future for the entire world, that's the power of Intel Inside. With more ingenuity and creativity inside, our work is at the heart of countless innovations. From major breakthroughs to things that make everyday life better— they're all powered by Intel technology. With a career at Intel, you can help make the future more wonderful for everyone.|To shape the future of technology to help create a better future for the entire world.|To shape the future of technology to help create a better future for the entire world.|Intel's culture emphasizes innovation, collaboration, and a commitment to making a positive impact on the world. The company values diversity, inclusion, and creating an environment where employees can thrive and contribute to meaningful technological advances.
Adobe|Adobe is the global leader in digital media and digital marketing solutions. Our creative, marketing and document solutions empower everyone – from emerging artists to global brands – to bring digital creations to life and deliver immersive, compelling experiences to the right person at the right moment for the best results. In short, Adobe is everywhere, and we're changing the world through digital experiences.|To change the world through digital experiences.|To change the world through digital experiences.|Adobe's culture emphasizes creativity, innovation, and a passion for digital experiences. The company values collaboration, diversity, and creating an environment where employees can express their creativity and contribute to meaningful digital solutions.
Persistent Systems|We are an AI-led, platform-driven Digital Engineering and Enterprise Modernization partner, combining deep technical expertise and industry experience to help our clients anticipate what's next. Our offerings & proven solutions create a unique competitive advantage for our clients by giving them the power to see beyond and rise above. We work with many industry-leading organizations across the world, including 12 of the 30 most innovative global companies, 60% of the largest banks in the US and India, and numerous innovators across the healthcare ecosystem.|To be the most respected technology company by creating value for clients, empowering employees, and contributing to a sustainable digital future.|To solve complex business problems and drive digital transformation for global enterprises through smart, scalable, and human-centric technology solutions.|We foster a values-led, people-first culture where employees can: - Grow personally and professionally - Drive positive global impact through cutting-edge tech - Thrive in a diverse, collaborative, and balanced workplace - Unlock global opportunities to work and learn with the industry's best
Mphasis|Passion, Perseverance, Perfection – we are defined by these three words. Relentless in our pursuit of knowledge, we believe in accepting the difference and defining the 'new normal', staying true to our vision and values. We believe in growth by knowledge, responsibility by authority and freedom by flexibility. Be a part of a place where ideas are celebrated and perseverance is worshiped. Our doors are wide open, and breakthrough ideas are welcome from anyone. But we have a question to ask before we let you in: How Geek Are You?|To be the most innovative and trusted technology partner.|To be the most innovative and trusted technology partner.|Mphasis's culture is built on passion, perseverance, and perfection. The company values innovation, continuous learning, and a commitment to excellence. Employees are encouraged to think creatively, embrace challenges, and contribute to breakthrough solutions.
Coforge|Coforge is a global digital services and solutions provider, that leverages emerging technologies and deep domain expertise to deliver real-world business impact for its clients. A focus on select industries, a deep domain understanding of the underlying processes of those industries and partnerships with leading technology platforms, enables Coforge to be a trusted partner of its clients in their transformation initiatives.|To be the most trusted digital transformation partner.|To be the most trusted digital transformation partner.|Coforge's culture emphasizes innovation, collaboration, and a commitment to delivering value to clients. The company values diversity, inclusion, and creating an environment where employees can grow and contribute to meaningful digital transformations.
HDFC Bank|HDFC Bank is India's largest private sector bank, offering a comprehensive range of financial products and services to our customer base of over 92 million. Our extensive distribution network of 8,919 branches and 21,031 ATMs across 3,836 cities and towns as of August 2024, reaches every corner of the country, making us accessible to millions. Promoted by Housing Development Finance Corporation (HDFC), India's leading housing finance company, HDFC Bank began operations in 1995 with a simple mission: to be a "World-class Indian Bank".|To be a "World-class Indian Bank".|To be a "World-class Indian Bank".|HDFC Bank's culture emphasizes customer focus, integrity, and excellence. The company values innovation, collaboration, and a commitment to providing world-class banking services. Employees are encouraged to think customer-first and contribute to the bank's mission of financial inclusion.
ICICI Bank|ICICI Bank is one of India's leading private sector banks, offering a wide range of banking products and services to corporate, Small and Medium Enterprises (SME) and individual customers across the country. The Bank offers multi-channel touch points including branches, ATMs, mobile banking, internet banking, and phone banking. The Bank has a network of 6,742 branches and 16,277 ATMs and cash recycling machines across India, as at December 31, 2024.|To be the most trusted and preferred financial partner.|To be the most trusted and preferred financial partner.|ICICI Bank's culture emphasizes trust, innovation, and customer-centricity. The company values integrity, excellence, and a commitment to providing comprehensive financial solutions. Employees are encouraged to think innovatively and contribute to the bank's mission of financial inclusion.
Axis Bank|Axis Bank is the third largest private sector bank in India. The Bank offers the entire spectrum of financial services to customer segments covering Large and Mid-Corporates, MSME, Agriculture and Retail Businesses. The Bank has a large footprint of 5000 domestic branches (including extension counters) with 15,751 ATMs & cash recyclers spread across the country.|To be the most preferred financial solutions provider.|To be the most preferred financial solutions provider.|Axis Bank's culture emphasizes customer focus, innovation, and excellence. The company values integrity, collaboration, and a commitment to providing comprehensive financial solutions. Employees are encouraged to think customer-first and contribute to the bank's mission of financial inclusion. 
